LTS,OOP,coffee,collaborative,comments,comparative_ratio,desktop,experience,functional_programming,gamer,graphical_app,indentation,limited_sleep,multiplatform,online_documentation,performance,simple_syntax,video_game,class
Yes,No,Yes,Yes,31.94,0.9991,Yes,4.5,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,20.88,1.0502,Yes,7.2,No,Yes,Yes,No,Yes,No,No,No,No,No,java
Yes,No,Yes,Yes,19.12,0.9563,Yes,15.8,No,No,No,Yes,No,Yes,Yes,No,No,No,java
Yes,Yes,No,No,16.49,1.0328,No,11.6,Yes,Yes,Yes,No,Yes,No,No,No,No,No,java
No,No,No,Yes,20.44,0.9649,Yes,0.1,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,java
Yes,Yes,No,No,14.03,0.9969,Yes,12.6,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,java
Yes,No,Yes,Yes,20.50,1.0035,Yes,9.3,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,java
No,No,Yes,Yes,18.68,0.9554,Yes,4.2,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,java
No,No,No,No,9.78,1.0208,No,4.3,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,java
Yes,No,No,No,22.47,0.8449,No,9.6,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,java
Yes,Yes,Yes,Yes,13.13,0.9964,Yes,1.3,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,java
Yes,No,No,Yes,20.78,0.9685,Yes,14.0,Yes,No,No,Yes,No,Yes,Yes,No,No,No,java
Yes,Yes,No,Yes,20.52,1.0226,Yes,16.6,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,java
Yes,Yes,Yes,Yes,25.68,0.9747,No,18.6,No,No,No,No,Yes,No,No,No,No,No,java
Yes,Yes,Yes,Yes,21.73,1.0610,Yes,4.5,No,No,Yes,No,No,No,No,Yes,Yes,No,java
Yes,No,Yes,Yes,10.64,0.9344,No,12.1,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,java
Yes,Yes,Yes,Yes,22.80,1.0463,No,5.1,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,No,Yes,Yes,16.13,1.0340,Yes,3.5,No,No,No,Yes,No,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,27.77,0.9976,No,12.2,No,No,No,Yes,Yes,Yes,No,No,No,No,java
Yes,No,No,Yes,18.18,1.0156,No,3.6,No,No,Yes,No,Yes,No,Yes,No,No,No,java
Yes,No,No,Yes,25.74,1.0606,Yes,4.2,No,No,Yes,No,Yes,No,Yes,No,Yes,No,java
Yes,No,Yes,No,19.24,0.9384,Yes,11.9,No,No,No,No,Yes,No,Yes,Yes,No,No,java
Yes,Yes,No,No,24.93,1.0404,No,6.7,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,No,Yes,9.98,0.9782,Yes,4.6,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,27.52,0.9995,No,2.9,No,No,No,No,Yes,No,Yes,No,No,No,java
Yes,No,No,Yes,22.80,0.9908,Yes,9.0,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,16.32,0.9069,No,19.0,No,Yes,No,No,Yes,No,No,Yes,No,No,java
Yes,Yes,Yes,No,14.75,1.0275,Yes,11.3,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,java
Yes,No,Yes,Yes,20.15,1.0398,No,0.8,No,No,Yes,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,16.65,0.8939,No,12.2,No,Yes,No,No,Yes,No,No,No,Yes,No,java
Yes,No,Yes,Yes,22.28,0.8939,Yes,10.5,No,No,Yes,Yes,No,No,No,Yes,No,Yes,java
Yes,Yes,Yes,Yes,23.04,0.9491,Yes,9.9,No,No,Yes,No,Yes,Yes,No,No,No,No,java
Yes,Yes,Yes,Yes,24.31,1.0230,Yes,7.5,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,java
Yes,Yes,No,No,23.31,0.9893,No,13.4,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,27.91,0.9969,No,0.4,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,java
Yes,No,Yes,Yes,17.36,0.9144,No,7.7,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,java
No,Yes,Yes,Yes,25.52,1.0097,No,2.1,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,java
Yes,Yes,Yes,Yes,24.98,1.0104,No,9.2,No,No,Yes,Yes,Yes,No,No,No,No,No,java
Yes,Yes,Yes,Yes,20.96,0.9469,No,10.1,No,No,Yes,No,Yes,No,No,No,No,No,java
Yes,Yes,No,No,22.76,1.0176,No,17.5,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,java
No,Yes,Yes,Yes,21.07,0.9577,No,6.0,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,20.45,1.0113,Yes,10.3,No,Yes,Yes,Yes,No,No,Yes,No,No,No,java
Yes,Yes,No,No,29.20,1.0014,Yes,5.1,No,No,No,No,Yes,No,Yes,No,Yes,No,java
Yes,No,Yes,Yes,20.31,0.9554,No,1.9,No,No,No,Yes,No,Yes,Yes,No,Yes,No,java
No,No,Yes,Yes,19.47,0.9638,No,8.9,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,15.91,1.0894,No,19.5,No,No,No,Yes,No,Yes,No,No,Yes,Yes,java
Yes,No,No,Yes,13.74,1.0304,Yes,19.6,No,Yes,No,Yes,Yes,No,Yes,No,No,No,java
Yes,Yes,Yes,No,23.64,1.0694,No,12.6,No,Yes,No,Yes,Yes,Yes,No,No,No,No,java
Yes,Yes,No,Yes,17.93,0.9477,No,14.1,No,No,No,No,Yes,Yes,Yes,No,No,No,java
Yes,No,Yes,Yes,21.25,0.9410,No,18.5,Yes,No,No,No,Yes,Yes,Yes,No,No,No,java
No,Yes,No,Yes,23.30,0.9572,No,13.9,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,java
No,Yes,Yes,Yes,15.19,1.0177,Yes,3.4,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,21.32,0.9811,Yes,4.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,No,14.32,0.9327,Yes,6.9,No,No,Yes,No,No,Yes,No,No,Yes,No,java
Yes,No,Yes,No,25.70,1.0126,No,12.4,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,java
No,No,Yes,Yes,22.31,0.9136,Yes,3.8,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,java
Yes,Yes,Yes,Yes,28.53,0.9368,No,9.5,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,Yes,Yes,8.27,1.0080,No,14.1,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,java
Yes,No,No,No,21.52,1.0660,No,14.7,No,No,No,Yes,No,No,Yes,No,Yes,No,java
Yes,No,Yes,No,13.27,1.0593,No,11.9,No,Yes,Yes,Yes,No,Yes,No,No,No,No,java
Yes,No,No,Yes,20.20,1.0311,No,0.5,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,java
No,Yes,Yes,Yes,17.78,0.9737,Yes,14.8,No,No,No,No,Yes,No,No,Yes,No,Yes,java
Yes,Yes,No,Yes,10.37,0.9922,Yes,3.5,No,No,No,Yes,No,Yes,Yes,No,Yes,No,java
Yes,No,Yes,Yes,24.39,0.8934,No,17.9,No,Yes,No,No,Yes,No,Yes,No,No,No,java
Yes,Yes,No,Yes,18.61,1.0287,Yes,16.1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,java
Yes,No,No,Yes,11.52,1.0481,Yes,3.0,No,Yes,No,No,Yes,No,No,No,No,Yes,java
No,Yes,Yes,Yes,19.36,1.0497,No,4.3,No,No,Yes,Yes,No,No,Yes,No,No,No,java
Yes,No,Yes,No,11.68,0.9416,No,16.5,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,java
Yes,Yes,No,No,20.17,0.9528,Yes,9.0,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,java
No,No,No,Yes,19.95,1.0140,No,2.2,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,java
No,Yes,Yes,Yes,14.06,0.9866,No,4.6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,java
Yes,No,Yes,No,16.61,1.0164,No,4.8,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,19.40,0.9458,Yes,15.1,No,No,No,No,No,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,No,15.48,1.0044,No,12.4,No,Yes,No,No,Yes,Yes,No,Yes,No,No,java
Yes,No,Yes,Yes,18.78,0.9835,No,1.4,No,No,No,Yes,Yes,Yes,No,No,Yes,No,java
Yes,Yes,No,No,15.58,1.0133,No,19.3,No,Yes,No,No,Yes,No,Yes,No,No,No,java
No,No,Yes,Yes,22.10,0.9922,No,7.7,No,Yes,Yes,No,Yes,No,No,Yes,No,No,java
No,Yes,Yes,Yes,13.63,0.9761,Yes,9.2,No,No,Yes,Yes,Yes,No,No,Yes,No,No,java
Yes,Yes,No,Yes,18.10,1.0196,No,6.1,No,No,No,No,Yes,Yes,No,Yes,No,No,java
Yes,Yes,Yes,Yes,15.33,0.9863,No,8.5,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,20.27,0.9941,Yes,19.2,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,21.80,0.9774,No,4.5,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,java
Yes,No,No,No,23.26,1.0177,Yes,1.2,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,java
No,Yes,Yes,No,17.64,1.0660,No,7.2,No,No,Yes,No,No,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,16.40,0.9884,No,15.6,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,java
Yes,Yes,Yes,Yes,15.31,0.9409,Yes,11.5,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,java
Yes,No,Yes,Yes,24.91,0.9530,Yes,3.6,Yes,No,No,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,No,No,19.62,1.0062,No,10.8,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,java
Yes,Yes,Yes,Yes,24.36,1.0032,Yes,8.8,No,No,Yes,No,No,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,No,14.37,0.9816,No,6.4,No,Yes,No,Yes,No,Yes,No,No,Yes,No,java
Yes,Yes,Yes,Yes,12.26,1.0135,No,13.4,No,No,Yes,No,Yes,No,Yes,No,No,No,java
Yes,Yes,No,Yes,24.18,0.9547,No,8.0,No,No,No,Yes,No,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,13.81,1.0135,Yes,19.1,No,No,Yes,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,14.57,0.9799,No,2.3,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,java
Yes,No,No,No,21.29,0.9759,Yes,13.3,No,No,Yes,No,No,Yes,No,No,Yes,No,java
Yes,No,Yes,No,12.79,1.0550,No,0.2,No,No,No,Yes,Yes,Yes,No,No,Yes,No,java
Yes,Yes,No,Yes,15.81,0.9006,Yes,15.0,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,27.40,0.9659,No,10.3,No,No,No,Yes,No,No,Yes,No,No,No,java
Yes,Yes,Yes,Yes,16.12,1.0723,Yes,8.2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,9.13,1.0827,No,15.2,No,Yes,Yes,No,No,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,27.81,1.0191,No,2.1,No,No,No,Yes,No,No,No,No,Yes,No,java
No,No,No,Yes,20.76,0.8812,Yes,7.2,No,Yes,No,No,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,26.15,0.9932,No,8.3,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,java
Yes,Yes,Yes,No,17.21,0.9607,Yes,18.2,No,No,No,No,No,No,Yes,Yes,Yes,No,java
Yes,Yes,No,Yes,22.19,1.0623,No,13.1,No,No,No,No,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,No,No,19.75,1.0059,Yes,9.7,No,No,No,No,No,No,Yes,Yes,No,No,java
Yes,Yes,No,No,15.35,1.0267,No,13.5,No,No,Yes,Yes,No,No,No,No,No,Yes,java
Yes,Yes,Yes,Yes,18.96,0.9558,Yes,12.7,No,Yes,No,Yes,Yes,No,Yes,No,No,No,java
No,No,Yes,Yes,20.82,0.9731,No,9.7,No,No,No,No,No,No,Yes,No,No,No,java
Yes,Yes,No,Yes,22.60,1.0399,No,1.6,Yes,No,No,No,No,Yes,Yes,Yes,No,No,java
No,No,No,No,13.86,1.0792,No,10.8,No,Yes,No,Yes,No,No,No,No,No,Yes,java
Yes,Yes,Yes,Yes,18.00,1.1026,No,6.3,No,No,No,No,Yes,No,No,No,Yes,No,java
Yes,Yes,No,Yes,20.40,0.9537,No,8.7,No,No,No,No,Yes,No,Yes,No,No,No,java
Yes,No,Yes,No,18.23,0.9254,No,19.4,No,No,No,No,Yes,No,Yes,Yes,No,No,java
Yes,Yes,No,Yes,20.06,0.9656,No,15.5,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,No,No,No,20.89,0.8990,Yes,14.8,No,No,No,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,No,16.80,1.0578,No,2.3,No,No,Yes,No,Yes,Yes,No,No,No,Yes,java
Yes,Yes,No,Yes,20.25,1.1131,Yes,3.1,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,No,No,21.49,0.9975,Yes,15.4,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,19.40,0.9934,No,14.0,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,java
Yes,No,Yes,Yes,25.67,0.9586,Yes,12.1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,No,Yes,Yes,23.73,1.0649,Yes,15.1,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,java
Yes,Yes,No,No,10.69,1.0039,No,10.9,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,java
Yes,Yes,Yes,Yes,24.80,1.0012,No,1.6,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,14.45,1.0183,Yes,5.4,No,Yes,No,No,Yes,Yes,Yes,No,No,No,java
No,Yes,No,Yes,13.31,1.0031,Yes,16.8,No,No,No,Yes,Yes,No,Yes,No,Yes,No,java
No,Yes,Yes,Yes,28.66,0.8908,No,8.5,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,java
Yes,No,Yes,Yes,10.49,0.9239,No,12.0,No,No,Yes,No,No,Yes,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,25.31,1.0045,Yes,4.4,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,java
No,Yes,Yes,No,24.21,0.9879,Yes,16.7,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,java
Yes,Yes,Yes,No,21.20,1.0124,Yes,18.8,No,No,Yes,No,No,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,No,18.60,1.0479,Yes,10.7,No,No,No,No,Yes,Yes,No,No,Yes,No,java
Yes,No,No,No,13.95,1.0298,Yes,10.4,No,Yes,Yes,No,Yes,Yes,No,No,No,No,java
Yes,No,No,Yes,22.73,0.9376,Yes,19.3,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,java
Yes,No,Yes,No,23.22,1.0512,No,11.5,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,java
Yes,No,Yes,Yes,18.19,1.0366,Yes,14.4,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,java
Yes,No,Yes,Yes,30.30,0.9855,No,5.3,No,No,Yes,Yes,No,No,Yes,Yes,No,No,java
Yes,No,Yes,Yes,12.51,1.0790,No,4.1,No,No,Yes,Yes,Yes,No,No,No,No,Yes,java
Yes,Yes,No,Yes,14.63,0.9849,Yes,12.2,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,java
No,No,No,Yes,26.56,1.0760,Yes,2.1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,24.12,0.9855,Yes,4.1,No,No,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,Yes,Yes,No,30.62,1.0004,Yes,7.7,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,No,Yes,19.32,1.1015,No,14.5,No,Yes,No,No,No,Yes,Yes,No,No,No,java
Yes,Yes,No,Yes,25.16,0.9432,Yes,4.1,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,java
Yes,Yes,Yes,Yes,9.40,1.0104,Yes,4.9,No,Yes,No,Yes,Yes,Yes,No,No,No,No,java
Yes,Yes,Yes,No,13.12,1.0718,Yes,8.0,No,No,Yes,Yes,No,No,No,No,Yes,No,java
Yes,No,Yes,Yes,20.50,0.9836,No,10.7,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,java
Yes,Yes,No,Yes,21.79,1.0145,Yes,3.9,No,No,Yes,Yes,Yes,No,No,Yes,No,No,java
No,Yes,Yes,Yes,21.84,0.9876,No,7.9,No,No,No,Yes,No,No,Yes,No,No,No,java
Yes,No,No,No,22.79,0.9961,No,4.4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,25.49,0.9061,No,6.1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,No,Yes,No,21.83,1.0354,Yes,6.6,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,16.31,0.9732,Yes,7.0,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,No,Yes,20.03,1.0272,Yes,6.0,No,No,Yes,No,No,Yes,Yes,No,Yes,No,java
Yes,No,Yes,Yes,20.58,0.9276,No,14.1,No,No,Yes,Yes,No,No,No,No,No,No,java
Yes,Yes,Yes,Yes,22.49,0.8994,Yes,7.7,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,java
Yes,Yes,No,Yes,14.92,0.9803,No,19.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,14.56,1.0804,No,13.7,No,No,Yes,No,No,No,Yes,Yes,No,No,java
Yes,No,Yes,No,20.35,1.0112,Yes,3.5,No,Yes,No,No,Yes,No,No,No,No,Yes,java
Yes,No,Yes,No,17.49,0.9994,Yes,15.1,No,Yes,No,Yes,No,No,Yes,No,No,No,java
Yes,Yes,No,Yes,24.77,0.9781,Yes,13.9,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,25.45,0.9938,No,12.5,No,No,No,Yes,Yes,No,Yes,No,Yes,No,java
Yes,No,Yes,Yes,17.12,1.0272,No,6.3,No,No,Yes,No,No,No,No,No,Yes,No,java
Yes,Yes,Yes,Yes,14.00,0.9266,Yes,18.9,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,java
Yes,No,Yes,Yes,29.48,1.0188,No,19.3,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,java
Yes,No,No,Yes,20.60,1.0501,Yes,4.6,No,No,No,No,No,No,Yes,Yes,Yes,No,java
No,No,No,Yes,18.60,1.0567,No,9.2,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,java
Yes,No,Yes,No,20.32,1.0598,No,14.4,No,No,Yes,No,No,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,No,17.53,1.0291,Yes,18.9,No,Yes,No,Yes,No,Yes,Yes,No,No,No,java
Yes,Yes,Yes,No,14.94,0.9908,No,12.4,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,Yes,No,14.43,1.0729,No,0.6,No,Yes,No,No,No,Yes,Yes,No,Yes,No,java
Yes,No,Yes,Yes,15.47,1.0402,Yes,14.7,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,No,No,19.65,0.9582,Yes,14.4,No,Yes,No,No,Yes,No,No,Yes,No,No,java
Yes,No,No,No,19.88,0.9621,Yes,16.2,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,18.34,0.9922,Yes,6.5,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,java
Yes,No,No,No,14.49,0.9739,No,18.2,No,Yes,Yes,No,No,No,No,Yes,No,No,java
Yes,Yes,No,Yes,23.02,0.9389,No,16.9,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,java
Yes,No,Yes,No,12.01,0.9849,No,6.5,No,Yes,No,No,No,Yes,Yes,No,Yes,No,java
Yes,Yes,No,Yes,20.42,1.0258,Yes,18.3,No,No,No,Yes,Yes,No,Yes,No,No,No,java
Yes,Yes,No,No,30.19,0.9858,No,7.8,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,13.36,1.0605,No,6.4,No,No,No,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,19.81,1.0468,No,8.6,No,No,Yes,No,Yes,No,Yes,Yes,No,No,java
Yes,No,No,Yes,13.10,1.0232,Yes,18.8,No,No,Yes,No,Yes,No,No,No,Yes,No,java
No,No,No,Yes,23.39,0.9908,Yes,18.1,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,java
Yes,Yes,Yes,Yes,17.13,1.0049,No,17.3,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,java
