LTS,OOP,coffee,collaborative,comments,comparative_ratio,desktop,experience,functional_programming,gamer,graphical_app,indentation,limited_sleep,multiplatform,online_documentation,performance,simple_syntax,video_game,class
Yes,Yes,Yes,No,16.71,1.0032,No,5.6,No,No,Yes,No,No,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,11.27,0.9876,No,9.7,Yes,Yes,No,Yes,No,No,Yes,No,No,No,java
Yes,Yes,Yes,Yes,22.24,1.0434,No,8.0,No,Yes,No,No,Yes,Yes,Yes,No,No,No,java
Yes,No,Yes,Yes,16.54,1.0005,No,6.6,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,java
No,Yes,Yes,Yes,20.49,1.0172,Yes,1.7,No,No,No,Yes,Yes,No,Yes,No,Yes,No,python
Yes,Yes,Yes,No,19.60,0.9192,Yes,2.5,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,No,9.91,1.0189,No,6.8,No,No,No,No,Yes,No,No,No,No,No,python
No,No,Yes,No,19.39,0.9710,No,1.4,No,No,No,No,No,No,No,No,Yes,No,python
Yes,Yes,No,Yes,20.86,0.9781,No,11.3,No,No,No,Yes,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,No,28.60,1.0492,No,3.6,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,python
Yes,Yes,No,Yes,25.76,1.0646,Yes,7.3,No,No,No,Yes,Yes,No,No,Yes,Yes,No,python
Yes,No,Yes,No,13.15,1.0013,Yes,6.5,No,No,No,Yes,Yes,No,No,Yes,No,No,python
Yes,Yes,No,No,17.89,1.0377,Yes,0.9,No,Yes,No,No,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,Yes,22.94,1.1081,Yes,10.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,python
Yes,No,Yes,Yes,20.69,1.0391,Yes,8.7,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,python
No,No,No,No,16.26,1.0266,Yes,10.9,No,No,No,Yes,No,Yes,Yes,No,Yes,No,python
Yes,No,Yes,Yes,10.40,1.0418,No,6.9,No,No,No,Yes,No,Yes,No,No,No,No,python
Yes,Yes,Yes,No,18.43,1.0239,No,1.1,No,No,No,Yes,No,No,No,No,Yes,No,python
Yes,No,No,No,35.58,0.9976,Yes,5.4,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,python
Yes,No,Yes,No,19.77,0.9875,No,2.7,No,No,No,No,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,Yes,25.46,1.0322,No,3.5,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,python
Yes,Yes,No,No,19.31,0.9759,Yes,3.0,No,Yes,No,Yes,Yes,Yes,No,No,No,No,python
Yes,Yes,Yes,Yes,22.81,0.9730,Yes,8.3,No,Yes,No,Yes,No,No,Yes,No,Yes,No,python
Yes,Yes,Yes,No,25.23,1.0055,No,6.0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,python
No,No,Yes,No,15.07,1.0459,Yes,10.4,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,20.17,1.0581,No,0.2,No,No,No,Yes,Yes,Yes,No,No,Yes,No,python
Yes,No,Yes,No,13.87,1.0412,Yes,11.4,No,Yes,No,Yes,Yes,No,Yes,No,No,No,python
Yes,Yes,Yes,No,16.48,1.0291,Yes,2.6,No,No,No,Yes,Yes,No,Yes,No,Yes,No,python
Yes,Yes,Yes,No,20.03,0.9746,No,0.1,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,python
Yes,No,Yes,No,13.19,0.9789,Yes,6.2,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,No,16.29,0.9513,No,4.3,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,python
Yes,Yes,Yes,No,17.67,0.9383,Yes,7.4,No,No,No,Yes,No,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,24.14,1.0025,Yes,14.7,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,python
Yes,Yes,Yes,No,24.81,0.8788,Yes,1.9,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,python
Yes,No,No,No,8.59,1.0329,Yes,10.5,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,python
No,Yes,Yes,No,23.92,1.1099,Yes,11.0,No,No,No,No,No,No,No,No,Yes,No,python
Yes,No,Yes,No,21.21,0.9882,No,13.4,No,Yes,No,No,Yes,Yes,No,No,No,No,python
Yes,No,Yes,No,18.06,0.9328,Yes,13.9,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,No,Yes,31.67,0.9467,Yes,13.3,No,No,No,No,Yes,No,Yes,Yes,Yes,No,python
Yes,No,Yes,Yes,21.16,0.9703,Yes,13.5,No,Yes,No,No,Yes,No,Yes,No,Yes,No,python
Yes,No,No,Yes,19.51,0.9988,No,13.5,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,python
No,No,No,Yes,19.66,0.9507,Yes,8.3,Yes,No,No,Yes,Yes,No,No,No,Yes,No,python
Yes,No,Yes,No,17.31,0.9644,No,10.2,No,No,No,No,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,No,23.87,1.0951,Yes,11.9,No,No,Yes,Yes,No,Yes,Yes,No,No,No,python
No,No,Yes,No,24.28,0.9146,Yes,14.0,No,Yes,No,No,No,Yes,Yes,No,No,No,python
Yes,No,Yes,Yes,17.83,0.9942,Yes,8.9,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,19.61,0.9832,No,10.6,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,21.00,1.0084,No,8.4,No,No,No,Yes,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,Yes,19.00,1.1001,No,4.5,No,No,No,Yes,Yes,No,No,No,Yes,No,python
Yes,No,Yes,Yes,21.06,1.0287,No,6.4,No,No,No,Yes,Yes,No,Yes,No,Yes,No,python
Yes,Yes,No,No,24.99,0.8980,Yes,8.1,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,python
Yes,Yes,No,Yes,18.80,1.0027,No,8.4,No,No,No,Yes,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,No,20.86,1.0580,Yes,0.2,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,No,Yes,14.22,1.0251,Yes,13.4,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,python
